編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
1-1,醫,rhi+,醫治,先生會同你醫好，毋使愁,醫生會把你治好，不必擔心。,,動詞,,1人體與醫療
1-2,看病,konˋ piangˋ,看病,今晡日先生無同人看病,今天醫生沒替人看病。,,動詞,,1人體與醫療
1-3,康健,kong+ kienˋ,健康,身體康健,身體健康。,,形容詞,,1人體與醫療
1-4,破病,poˋ piangˋ,生病,破病當艱苦,生病很不舒服。,,動詞,,1人體與醫療
1-5,寒着,honˇ do^,感冒,著忒少，嗄寒着咧！,穿太少，就感冒了！,,動詞,,1人體與醫療
1-6,著着,chogˋ do^,感染；中獎,"著着癌症
著着大獎","得到癌症。
中大獎。",,動詞,,1人體與醫療
1-7,嗽,cugˋ,咳嗽,阿奶寒着，緊嗽,祖母感冒，一直咳嗽。,,動詞,,1人體與醫療
1-8,發燒,fad^ sheu+,發燒,略略發燒,有點發燒。,,動詞,名詞,1人體與醫療
1-9,著傷,chogˋ shong+,受傷,佢跌倒，膝頭著傷,他跌倒，膝蓋受傷。,,動詞,,1人體與醫療
1-10,毋鬆爽,mˇ sung+ song^,不舒服,佢人毋鬆爽，今晡日愛請假,他人不舒服，今天要請假。,,形容詞,,1人體與醫療
1-11,熱着,ngiedˋ do^,中暑,天時恁熱，出去晒會熱着,天氣那麼熱，出去晒會中暑。,,動詞,,1人體與醫療
1-12,拉尿,laiˇ ngiauˋ,尿失禁、尿床,"佢忍毋核，拉尿咧！
昨暗晡食忒多茶，所以拉尿咧！","他忍不住，尿出來了！
昨晚喝太多茶，所以尿床了！",,動詞,,1人體與醫療
1-13,屙瀉巴,o+ siaˋ baˇ,拉肚子,食着無萋个菜，歸日屙瀉巴,吃了不新鮮的菜，整天拉肚子。,,動詞,,1人體與醫療
1-14,屙尿,o+ ngiauˋ,小便,老弟想屙尿，緊尋便所,弟弟想小便，一直找廁所。,,動詞,,1人體與醫療
1-15,屙屎,o+ shi^,大便,佢去便所屙屎，你愛等下無？,他去廁所大便，你要等一下嗎？,,動詞,,1人體與醫療
1-16,屁卵,piˋ lon^,屁,佢毋知食恁多麼个，打个屁卵當臭,他不知道吃了些什麼，放屁很臭。,,名詞,,1人體與醫療
1-17,消化,siau+ faˋ,消化,食梅對消化較好,吃梅子對消化比較有幫助。,,動詞,,1人體與醫療
1-18,大肚屎,taiˋ du^ shi^,大肚子，指懷孕,阿姊大肚屎，下個月愛降咧,姊姊懷孕，下個月要生產了。,,形容詞,,1人體與醫療
1-19,降,giungˋ,生（小孩）,吾老弟嫂上禮拜降妹,弟媳上星期生女兒。,,動詞,,1人體與醫療
1-20,血,hied^,血,"分刀割着，手緊出血
身體檢查愛抽血","被刀子割到，手一直流血。
身體檢查要抽血。",,名詞,,1人體與醫療
1-21,醫院（病院）,rhi+ rhenˋ (piangˋ rhenˋ),醫院,醫院在車頭附近,醫院在車站附近。,,名詞,,1人體與醫療
1-22,護士,fuˋ siiˋ,護士,做護士，愛有耐心,當護理師，要有耐心。,,名詞,,1人體與醫療
1-23,掛號,guaˋ hoˋ,掛號,去醫院掛號,去醫院掛號。,,動詞,,1人體與醫療
1-24,藥,rhogˋ,藥,"愛記得食藥
阿姆寒着，去藥房合藥
這菜無射藥，使得安心食","要記得吃藥。
媽媽感冒，去藥局配藥。
這菜沒有噴農藥，可以放心食用。",,名詞,,1人體與醫療
1-25,啄目睡,dug^ mug^ shoiˋ,打瞌睡,無睡飽會啄目睡,沒睡飽會打瞌睡。,,動詞,,1人體與醫療
1-26,頭那,teuˇ naˇ,頭,歸日頭那疾,整天頭痛。,,名詞,,1人體與醫療
1-27,頭那毛,teuˇ naˇ mo+,頭髮,剃頭那毛,理頭髮。,,名詞,,1人體與醫療
1-28,額頭,ngiag^ teuˇ,額頭,,,,名詞,,1人體與醫療
1-29,目眉,mug^ miˇ,眉毛,,,,名詞,,1人體與醫療
1-30,目珠,mug^ zhu+,眼睛,老咧！目珠花花,老了！眼睛濛濛的。,,名詞,,1人體與醫療
1-31,目汁,mug^ zhib^,眼淚,講佢兩句，斯目汁緊跌,說他兩句，就一直掉眼淚。,,名詞,,1人體與醫療
1-32,鼻公,piˋ gung+,鼻子,鼻公塞塞,鼻子塞住。,,名詞,,1人體與醫療
1-33,耳公,ngi^ gung+,耳朵,厥耳公聾聾，你講話愛較大聲兜,他耳朵重聽，你講話要大聲一點。,,名詞,,1人體與醫療
