編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
1-1,發子,bod ziiˊ ,害喜,阿姊發子，緊想愛嘔。,姊姊害喜，一直想吐。,,動詞,,1人體與醫療
1-2,發狂,bod kong,發狂；做惡夢,老妹昨暗晡發狂緊噭。,妹妹昨晚做惡夢一直哭。,,動詞,,1人體與醫療
1-3,哺菸,bu rhanˋ ,抽菸（吐菸）,阿伯為着身體健康，決定無愛哺菸咧！,伯父為了身體健康，決定不要抽菸了！,,動詞,,1人體與醫療
1-4,遰,cheˇ ,傳染；繁殖,"分人遰着
冷着會遰人
蝓螺遰當遽","被別人傳染
感冒會傳染給人
蝸牛繁殖得很快",,動詞,,1人體與醫療
1-5,治療,chi+ liau,治療,治療恁多到都無效，愛仰結煞?,治療那麼多次都沒效，要怎麼辦？,,動詞,,1人體與醫療
1-6,出汗,chud hon+,流汗,熱到緊出汗,熱到一直流汗,,動詞,,1人體與醫療
1-7,出麻仔,chud ma er,出麻疹,老弟上隻月出麻仔,弟弟上個月出麻疹,,動詞,,1人體與醫療
1-8,出血,chud hied,流血,佢个手分刀仔割着，緊出血。,他的手被刀子割到，一直流血。,,動詞,,1人體與醫療
1-9,打哈啾,daˊ had ciuˋ ,打噴嚏,仰緊打哈啾？敢係冷着咧?,怎麼一直打噴嚏？難道是感冒了嗎？,,動詞,,1人體與醫療
1-10,翻,ponˋ,嘔、吐,佢人毋鬆爽，一食就翻。,他不舒服，一吃東西就嘔吐。,,動詞,,1人體與醫療
1-11,花花,faˋ faˋ ,視線模糊,目珠花花,視線模糊,,形容詞,,1人體與醫療
1-12,發炎,fad rham+,發炎,手割着無處理好勢，嗄發炎咧。,手割到沒有處理妥當，結果發炎了。,,動詞,,1人體與醫療
1-13,反躁,fanˊ cauˇ ,失眠,昨暗晡反躁，所以這下緊啄目睡。,昨晚失眠，所以現在一直打瞌睡。,,動詞,,1人體與醫療
1-14,恢復,fuiˋ fugˋ ,恢復,恢復健康,恢復健康,,動詞,,1人體與醫療
1-15,雞嫲皮（寒毛菇）,gaiˋ ma pi (hon moˋ guˋ ),雞皮疙瘩,冷到起雞嫲皮,冷到起雞皮疙瘩,,名詞,,1人體與醫療
1-16,禁尿,gimˇ ngiau+,憋尿,尿出就愛去屙，毋好禁尿。,尿急就要去小便，不要憋尿。,,動詞,,1人體與醫療
1-17,腳目珠（腳目）,giog mug zhuˋ (giog mug ),腳踝,佢行路踣着，腳目珠腫起來。,他走路扭到，腳踝腫起來。,,名詞,,1人體與醫療
1-18,腳盤,giog pan,腳面、腳背,腳盤大个人，最好莫著狹狹个鞋。,腳面大的人，最好別穿狹窄的鞋子。,,名詞,,1人體與醫療
1-19,腳趾目,giog zhiˊ mug,腳趾關節,佢痛風擎起來，腳趾目又紅又腫。,他痛風發作，腳趾關節又紅又腫。,,名詞,,1人體與醫療
1-20,腳力,giog  lidˋ ,步行的能力,佢腳力毋好，兩下半就行毋停動咧！,他腳力不好，一下子就走不動了！,,名詞,,1人體與醫療
1-21,肝,gonˋ ,肝,你个肝毋好，莫恁樣輒輒熬夜。,你的肝不好，別這樣常常熬夜。,,名詞,,1人體與醫療
1-22,蛤蟆胲,ha ma goiˋ ,下巴頦,𠊎个蛤蟆胲無細義去撞着，痛到會死！,我的下巴頦不小心撞到，痛得要命！,,名詞,,1人體與醫療
1-23,口涎渣,heuˊ lanˋ zaˋ ,口沫,佢講話講着口涎渣緊噴，成律不啊！,他說話說到口沫一直噴，真髒啊！,,名詞,,1人體與醫療
1-24,喉嗹,heu lien,喉嚨,喉嗹痛,喉嚨痛,,名詞,,1人體與醫療
1-25,翕着,hib doˊ ,中暑,恁熱，出去晒日頭會翕着。,那麼熱，出去晒太陽會中暑。,,動詞,,1人體與醫療
1-26,血管,hied gonˊ ,血管,佢血管塞着，背尾就中風咧。,他血管堵塞，後來就中風了。,,名詞,,1人體與醫療
1-27,寒毛（寒毛菇）,hon moˋ (hon moˋ guˋ ),汗毛,阿明牯个面項有當多幼幼仔个寒毛。,阿明弟的臉上有很多細細的汗毛。,,名詞,,1人體與醫療
