編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
1-1,醫,rhiˋ,醫治,先生會摎你醫好，毋使愁,醫生會把你治好，不必擔心。,,動詞,,1 人體與醫療
1-2,看病,konˇpiang+,看病,今晡日先生無摎人看病,今天醫生沒替人看病。,,動詞,,1 人體與醫療
1-3,康健,kongˋkien+,健康,身體康健,身體健康。,,形容詞,,1 人體與醫療
1-4,發病(著病),bod piang+ (chogˋ piang+),生病,發病當艱苦,生病很不舒服。,,動詞,,1 人體與醫療
1-5,冷着,langˋ doˊ,感冒,著忒少，嗄冷着咧！,穿太少，就感冒了！,,動詞,,1 人體與醫療
1-6,著着,chogˋ doˊ,感染；中獎,"著着癌症
著着大獎","得到癌症。
中大獎。",,動詞,,1 人體與醫療
1-7,嗽,cug,咳嗽,阿婆冷着，緊嗽,祖母感冒，一直咳嗽。,,動詞,,1 人體與醫療
1-8,發燒（作燒）,fad  shauˋ(zog  shauˋ),發燒,略略仔發燒,有點發燒。,,動詞,名詞,1 人體與醫療
1-9,著傷,chogˋshongˋ,受傷,佢跢倒，膝頭著傷,他跌倒，膝蓋受傷。,,動詞,,1 人體與醫療
1-10,毋鬆爽,m  sungˋ songˊ,不舒服,佢人毋鬆爽，今晡日愛請假,他人不舒服，今天要請假。,,形容詞,,1 人體與醫療
1-11,熱着,ngiedˋ doˊ,中暑,天時恁熱，出去晒會熱着,天氣那麼熱，出去晒會中暑。,,動詞,,1 人體與醫療
1-12,拉尿,lai ngiau+,尿失禁、尿床,"佢忍毋核，拉尿咧！
昨暗晡食忒多茶，所以拉尿咧！","他忍不住，尿出來了！
昨晚喝太多茶，所以尿床了！",,動詞,,1 人體與醫療
1-13,屙落巴（屙痢肚）,oˋ lauˇ ba (oˋli+ duˊ),拉肚子,食着無萋个菜，歸日仔屙落巴,吃了不新鮮的菜，整天拉肚子。,,動詞,,1 人體與醫療
1-14,屙尿,oˋ ngiau+,小便,老弟想屙尿，緊尋便所,弟弟想小便，一直找廁所。,,動詞,,1 人體與醫療
1-15,屙屎,oˋ shiˊ,大便,佢去便所屙屎，你愛等一下無？,他去廁所大便，你要等一下嗎？,,動詞,,1 人體與醫療
1-16,屁,piˇ,屁,佢毋知食恁多麼个，打个屁當臭,他不知道吃了些什麼，放屁很臭。,,名詞,,1 人體與醫療
1-17,消化,siauˋfaˇ,消化,食梅仔對消化較好,吃梅子對消化比較有幫助。,,動詞,,1 人體與醫療
1-18,大肚屎,tai+ duˊ shiˊ,大肚子，指懷孕,阿姊大肚屎，下隻月會降咧。,姊姊懷孕，下個月要生產了。,,形容詞,,1 人體與醫療
1-19,降,giungˇ,生（小孩）,老弟心臼上禮拜降妹仔,弟媳上星期生女兒。,,動詞,,1 人體與醫療
1-20,血,hied,血,"分刀仔割着，手緊出血
身體檢查愛抽血","被刀子割到，手一直流血。
身體檢查要抽血。",,名詞,,1 人體與醫療
1-21,醫院,rhiˋ rhanˇ,醫院,醫院在車頭附近,醫院在車站附近。,,名詞,,1 人體與醫療
1-22,護士,fu+ sii+,護士,做護士，愛有耐心,當護理師，要有耐心。,,名詞,,1 人體與醫療
1-23,掛號,guaˇho+,掛號,去醫院掛號,去醫院掛號。,,動詞,,1 人體與醫療
1-24,藥仔,rhogˋ er ,藥,"愛記得食藥仔
阿姆冷着，去藥房合藥仔
這菜無洩藥仔，做得安心食","要記得吃藥。
媽媽感冒，去藥局配藥。
這菜沒有噴農藥，可以放心食用。",,名詞,,1 人體與醫療
1-25,啄目睡,dug mug  shoi+,打瞌睡,無睡飽會啄目睡,沒睡飽會打瞌睡。,,動詞,,1 人體與醫療
1-26,頭那,teu na,頭,歸日仔頭那痛,整天頭痛。,,名詞,,1 人體與醫療
1-27,頭那毛,teu na moˋ,頭髮,剃頭那毛,理頭髮。,,名詞,,1 人體與醫療
1-28,額頭,ngiag teu,額頭,,,,名詞,,1 人體與醫療
1-29,目眉毛,mug mi moˋ,眉毛,,,,名詞,,1 人體與醫療
1-30,目珠,mug  zhuˋ,眼睛,老咧！目珠花花,老了！眼睛濛濛的。,,名詞,,1 人體與醫療
1-31,目汁,mug  zhib,眼淚,講佢兩句，就目汁緊跌,說他兩句，就一直掉眼淚。,,名詞,,1 人體與醫療
1-32,鼻空,pi+   kungˋ,鼻子,鼻空塞塞,鼻子塞住。,,名詞,,1 人體與醫療
1-33,耳空,ngiˊ kungˋ,耳朵,佢耳空聾聾，你講話愛較大聲兜,他耳朵重聽，你講話要大聲一點。,,名詞,,1 人體與醫療
