編碼,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
1-1,病子,piang zii^/zu^ ,害喜,阿姊病子，直直想討貶腹。,姊姊害喜，一直想吐。,,動詞,,1人體與醫療
1-2,起狂,ki^ kongˋ ,發狂,這位學者透日起狂來研究各式各樣个問題。,這位學者整天發狂的研究各式各樣的問題。,,動詞,,1人體與醫療
1-3,食薰,shiedˋ funˇ ,抽菸（吐菸）,阿伯為着身體康健，決定無愛食薰啊！,伯父為了身體健康，決定不要抽菸了！,,動詞,,1人體與醫療
1-4,穢,bbe^ ,傳染,"得人穢着
寒着會穢人","被別人傳染
感冒會傳染給人",,動詞,,1人體與醫療
1-5,治療,chi leeuˋ ,治療,治療恁多擺攏無效，愛仰子正好？,治療那麼多次都沒效，要怎麼辦？,,動詞,,1人體與醫療
1-6,出汗,chidˊ hon ,流汗,熱到直直出汗,熱到一直流汗,,動詞,,1人體與醫療
1-7,出麻,chidˊ maˋ ,出麻疹,阿弟上個月出麻。,弟弟上個月出麻疹。,,動詞,,1人體與醫療
1-8,流血,lauˋ fiedˊ ,流血,佢个手得刀割着，直直流血。,他的手被刀子割到，一直流血。,,動詞,,1人體與醫療
1-9,打哈啾,da^ hadˊ ciuˋ,打噴嚏,仰子直直打哈啾？敢係寒着啊？,怎麼一直打噴嚏？難道是感冒了嗎？,,動詞,,1人體與醫療
1-10,吐,tu^ ,嘔、吐,佢人無快活，一食即吐。,他不舒服，一吃東西就嘔吐。,,動詞,,1人體與醫療
1-11,花花,faˇ faˇ ,視線模糊,目珠花花,視線模糊,,形容詞,,1人體與醫療
1-12,發炎,fadˊ rhiam,發炎,手割着無處理好勢，嗄發炎啊。,手割到沒有處理妥當，結果發炎了。,,動詞,,1人體與醫療
1-13,醒眠,ciang^ minˋ ,失眠,昨暗夜醒眠，所以這下直直啄睡。,昨晚失眠，所以現在一直打瞌睡。,,動詞,,1人體與醫療
1-14,恢復,fuiˇ fu ,恢復,恢復健康,恢復健康,,動詞,,1人體與醫療
1-15,雞嫲皮,geˇ maˋ piˋ ,雞皮疙瘩,寒到起雞嫲皮,冷到起雞皮疙瘩,,名詞,,1人體與醫療
1-16,禁尿,gim^ neeu,憋尿,尿急即愛去屙，毋好禁尿。,尿急就要去小便，不要憋尿。,,動詞,,1人體與醫療
1-17,腳目,giooˊ hmˊ ,腳踝,佢行路㞇着，腳目腫起來。,他走路扭到，腳踝腫起來。,,名詞,,1人體與醫療
1-18,腳盤,giooˊ panˋ ,腳面、腳背,腳盤大个人，頭好莫著狹狹个鞋。,腳面大的人，最好別穿狹窄的鞋子。,,名詞,,1人體與醫療
1-19,腳趾目,giooˊ zhi^ hmˊ ,腳趾關節,佢痛風擎起來，腳趾目又紅又腫。,他痛風發作，腳趾關節又紅又腫。,,名詞,,1人體與醫療
1-20,腳力,giooˊ lidˋ ,步行的能力,佢腳力無好，兩下半即行毋會停動啊！,他腳力不好，一下子就走不動了！,,名詞,,1人體與醫療
1-21,肝,gonˇ ,肝,你个肝無好，莫按輒輒耗夜。,你的肝不好，別這樣常常熬夜。,,名詞,,1人體與醫療
1-22,下頜,haˇ gabˋ ,下巴頦,𠊎个下頜無堵好去碰着，疾到討死！,我的下巴頦不小心撞到，痛得要命！,,名詞,,1人體與醫療
1-23,口涎波,keu^ lanˇ pooˇ ,口沫,佢講事講到口涎波直直噴，足垃圾个！,他說話說到口沫一直噴，真髒啊！,,名詞,,1人體與醫療
1-24,喉嗹,heuˋ lienˋ ,喉嚨,喉嗹疾,喉嚨痛,,名詞,,1人體與醫療
1-25,逼着,bedˊ choo,中暑,恁熱，出去炙日頭會逼着。,那麼熱，出去晒太陽會中暑。,,動詞,,1人體與醫療
1-26,血管,fiedˊ guen^ ,血管,佢血管塞着，落尾即中風啊。,他血管堵塞，後來就中風了。,,名詞,,1人體與醫療
1-27,毛管,hmˇ guen^ ,汗毛,阿明弟个面面上有真多幼幼个毛管。,阿明弟的臉上有很多細細的汗毛。,,名詞,,1人體與醫療
1-28,醫學,rhiˇ hoo,醫學,現時个醫學真進步,現在的醫學很進步,,名詞,,1人體與醫療
1-29,膴身,bbuˇ shinˇ ,身體、軀體,運動了後膴身有流汗，愛較緊捽燥來。,運動過後身體有流汗，要趕緊擦乾。,,名詞,,1人體與醫療
1-30,腰骨,rhiooˇ gudˊ ,腰部,做事一下跍一下企，嗄腰骨疾。,工作一下蹲一下站，結果腰痛。,,名詞,,1人體與醫療
1-31,腰子,rhiooˇ zii^/zu^  ,腎臟,糖尿病若無控制好，腰子嘛會出問題。,糖尿病要是沒控制好，腎臟也會出問題。,,名詞,,1人體與醫療
1-32,營養,rhinˋ rhiong^ ,營養,無營養个物件毋好直直食。,沒營養的東西不要一直吃。,,名詞,,1人體與醫療
1-33,藥水,rhioo fi^ ,藥水,目藥水莫烏白點，舞到發炎即無法度啊。,眼藥水不要亂點，搞到發炎就不知如何是好了。,,名詞,,1人體與醫療
1-34,有身,rhiuˇ shinˇ ,有身孕、懷孕,有身啊，愛細義。,懷孕了，要小心。,,動詞,,1人體與醫療
1-35,撿細子,giamˆ se^ zu^ ,接生,產婆會拁人撿細子。,產婆會幫人接生。,,動詞,,1人體與醫療
1-36,擎起來,kiaˋ ki^ loiˋ ,發作,天氣一變，風溼即擎起來。,天氣一變，風溼就發作。,,動詞,,1人體與醫療
1-37,手脅下,shiu^ hiabˊ haˇ,腋下,𠊎熱到手脅下直直流汗,我熱得腋下一直流汗,,名詞,,1人體與醫療
1-38,吸收,kibˊ shiuˇ ,吸收,阿弟个胃腸吸收功能真䆀。,弟弟的腸胃吸收功能很差。,,動詞,,1人體與醫療
