編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
1-1,醫,rhiˇ,醫治,先生會拁你醫好，毋使擘心,醫生會把你治好，不必擔心。,,動詞,,1人體與醫療
1-2,䀴病,ngiang^ piang,看病,今日先生無拁人䀴病,今天醫生沒替人看病。,,動詞,,1人體與醫療
1-3,康健,kongˇ kien,健康,身體康健,身體健康。,,形容詞,,1人體與醫療
1-4,破病,poo^ piang,生病,破病真艱難,生病很不舒服。,,動詞,,1人體與醫療
1-5,寒着（感着）,honˋ choo (gam^ choo),感冒,著傷少，嗄寒着啊！,穿太少，就感冒了！,,動詞,,1人體與醫療
1-6,著着,choo choo,感染；中獎,"著着癌症
著着大獎","得到癌症。
中大獎。",,動詞,,1人體與醫療
1-7,嗽,seu^,咳嗽,阿媽寒着，直直嗽,祖母感冒，一直咳嗽。,,動詞,,1人體與醫療
1-8,發燒,fadˊ shiooˇ,發燒,略略仔發燒,有點發燒。,,動詞,名詞,1人體與醫療
1-9,著傷,choo shongˇ,受傷,佢跌倒，膝頭著傷,他跌倒，膝蓋受傷。,,動詞,,1人體與醫療
1-10,無快活,moˋ kuai^ bbadˋ,不舒服,佢人無快活，今日討請假,他人不舒服，今天要請假。,,形容詞,,1人體與醫療
1-11,熱着,ngiedˋ choo,中暑,天氣恁熱，出去炙會熱着,天氣那麼熱，出去晒會中暑。,,動詞,,1人體與醫療
1-12,疶尿,cheedˊ neeu,尿失禁、尿床,"佢忍毋會核，疶尿啊！
昨暗夜啉傷多茶，所以疶尿啊！","他忍不住，尿出來了！
昨晚喝太多茶，所以尿床了！",,動詞,,1人體與醫療
1-13,落屎,lau^ shi^,拉肚子,食着無萋个菜，歸日落屎,吃了不新鮮的菜，整天拉肚子。,,動詞,,1人體與醫療
1-14,屙尿,ooˇ neeu,小便,阿弟想討屙尿，直直尋便所,弟弟想小便，一直找廁所。,,動詞,,1人體與醫療
1-15,屙屎,ooˇ shi^,大便,佢去便所屙屎，你討等一下無？,他去廁所大便，你要等一下嗎？,,動詞,,1人體與醫療
1-16,屁,pi^,屁,佢毋知食着麼个，屙个屁真臭,他不知道吃了些什麼，放屁很臭。,,名詞,,1人體與醫療
1-17,消化,siooˇ fa^,消化,食梅對消化較好,吃梅子對消化比較有幫助。,,動詞,,1人體與醫療
1-18,大食肚,tai shidˋ du^,大肚子，指懷孕,阿姊大食肚，後個月討降啊。,姊姊懷孕，下個月要生產了。,,形容詞,,1人體與醫療
1-19,降,giungˇ,生（小孩）,弟嫂上禮拜降阿女,弟媳上星期生女兒。,,動詞,,1人體與醫療
1-20,血,fiedˊ,血,"得刀割着，手直直流血
身體檢查愛抽血","被刀子割到，手一直流血。
身體檢查要抽血。",,名詞,,1人體與醫療
1-21,病院,piang innˇ,醫院,病院在車頭就近,醫院在車站附近。,,名詞,,1人體與醫療
1-22,護士,fu su,護士,做護士，愛有耐心,當護理師，要有耐心。,,名詞,,1人體與醫療
1-23,掛號,gua^ hoo,掛號,去病院掛號,去醫院掛號。,,動詞,,1人體與醫療
1-24,藥,rhioo,藥,"愛記得食藥
阿依寒着，去藥房合藥
這菜無噴藥，會用安心食","要記得吃藥。
媽媽感冒，去藥局配藥。
這菜沒有噴農藥，可以放心食用。",,名詞,,1人體與醫療
1-25,啄睡,duˊ fe,打瞌睡,無睡飽會啄睡,沒睡飽會打瞌睡。,,動詞,,1人體與醫療
1-26,頭那,teuˋ naˋ,頭,歸日頭那疾,整天頭痛。,,名詞,,1人體與醫療
