編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-1,醫,rhi+,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-001.mp3,醫治,先生會同你醫好，毋使愁,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-001s.mp3,醫生會把你治好，不必擔心。,,動詞,,1人體與醫療
1-2,看病,konˋ piangˋ,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-002.mp3,看病,今晡日先生無同人看病,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-002s.mp3,今天醫生沒替人看病。,,動詞,,1人體與醫療
1-3,康健,kong+ kienˋ,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-003.mp3,健康,身體康健,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-003s.mp3,身體健康。,,形容詞,,1人體與醫療
1-4,破病,poˋ piangˋ,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-004.mp3,生病,破病當艱苦,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-004s.mp3,生病很不舒服。,,動詞,,1人體與醫療
1-5,寒着,honˇ do^,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-005.mp3,感冒,著忒少，嗄寒着咧！,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-005s.mp3,穿太少，就感冒了！,,動詞,,1人體與醫療
1-6,著着,chogˋ do^,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-006.mp3,感染；中獎,"著着癌症
著着大獎",https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-006s.mp3,"得到癌症。
中大獎。",,動詞,,1人體與醫療
1-7,嗽,cugˋ,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-007.mp3,咳嗽,阿奶寒着，緊嗽,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-007s.mp3,祖母感冒，一直咳嗽。,,動詞,,1人體與醫療
1-8,發燒,fad^ sheu+,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-008.mp3,發燒,略略發燒,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-008s.mp3,有點發燒。,,動詞,名詞,1人體與醫療
1-9,著傷,chogˋ shong+,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-009.mp3,受傷,佢跌倒，膝頭著傷,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-009s.mp3,他跌倒，膝蓋受傷。,,動詞,,1人體與醫療
1-10,毋鬆爽,mˇ sung+ song^,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-010.mp3,不舒服,佢人毋鬆爽，今晡日愛請假,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-010s.mp3,他人不舒服，今天要請假。,,形容詞,,1人體與醫療
1-11,熱着,ngiedˋ do^,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-011.mp3,中暑,天時恁熱，出去晒會熱着,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-011s.mp3,天氣那麼熱，出去晒會中暑。,,動詞,,1人體與醫療
1-12,拉尿,laiˇ ngiauˋ,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-012.mp3,尿失禁、尿床,"佢忍毋核，拉尿咧！
昨暗晡食忒多茶，所以拉尿咧！",https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-012s.mp3,"他忍不住，尿出來了！
昨晚喝太多茶，所以尿床了！",,動詞,,1人體與醫療
1-13,屙瀉巴,o+ siaˋ baˇ,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-013.mp3,拉肚子,食着無萋个菜，歸日屙瀉巴,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-013s.mp3,吃了不新鮮的菜，整天拉肚子。,,動詞,,1人體與醫療
1-14,屙尿,o+ ngiauˋ,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-014.mp3,小便,老弟想屙尿，緊尋便所,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-014s.mp3,弟弟想小便，一直找廁所。,,動詞,,1人體與醫療
1-15,屙屎,o+ shi^,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-015.mp3,大便,佢去便所屙屎，你愛等下無？,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-015s.mp3,他去廁所大便，你要等一下嗎？,,動詞,,1人體與醫療
1-16,屁卵,piˋ lon^,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-016.mp3,屁,佢毋知食恁多麼个，打个屁卵當臭,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-016s.mp3,他不知道吃了些什麼，放屁很臭。,,名詞,,1人體與醫療
1-17,消化,siau+ faˋ,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-017.mp3,消化,食梅對消化較好,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-017s.mp3,吃梅子對消化比較有幫助。,,動詞,,1人體與醫療
1-18,大肚屎,taiˋ du^ shi^,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-018.mp3,大肚子，指懷孕,阿姊大肚屎，下個月愛降咧,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-018s.mp3,姊姊懷孕，下個月要生產了。,,形容詞,,1人體與醫療
1-19,降,giungˋ,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-019.mp3,生（小孩）,吾老弟嫂上禮拜降妹,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-019s.mp3,弟媳上星期生女兒。,,動詞,,1人體與醫療
1-20,血,hied^,https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-020.mp3,血,"分刀割着，手緊出血
身體檢查愛抽血",https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-020s.mp3,"被刀子割到，手一直流血。
身體檢查要抽血。",,名詞,,1人體與醫療
1-21,醫院（病院）,rhi+ rhenˋ (piangˋ rhenˋ),https://wiki.hakka.gov.tw/file/107/1/da/w/da-01-021.mp3,醫院,醫院在車頭附近,https://wiki.hakka.gov.tw/file/107/1/da/s/da-01-021s.mp3,醫院在車站附近。,,名詞,,1人體與醫療
