編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-1,發子（病子）,bodˋ ziiˋ (piang ziiˋ),https://wiki.hakka.gov.tw/file/107/2/si/w/1si-01-001.mp3,害喜,阿姊發子，緊想愛翻。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-01-001s.mp3,姊姊害喜，一直想吐。,,動詞,,人體與醫療
1-2,發狂【發青瞑】,bodˋ kongˇ【bodˋ qiangˊ miangˊ】,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-01-002.mp3,做惡夢,老妹昨暗晡發狂（發青瞑）緊噭。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-01-002s.mp3,妹妹昨晚做惡夢一直哭。,,動詞,,人體與醫療
1-3,哺菸,buˇ ienˊ【buˇ ianˊ】,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-01-003.mp3,抽菸（吐菸）,阿伯為着身體健康，決定無愛哺菸哩（吔）！,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-01-003s.mp3,伯父為了身體健康，決定不要抽菸了！,,動詞,,人體與醫療
1-4,遰,ce ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-01-004.mp3,傳染；繁殖,"分人遰着。
寒着（凍着）會遰人。
蝓螺（螔螺仔）遰當（蓋）遽。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-01-004s.mp3,"被別人傳染。
感冒會傳染給人。
蛞蝓繁殖得很快。",,動詞,,人體與醫療
1-5,治療,cii liauˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-01-005.mp3,治療,治療恁多到都無效，愛仰結煞？,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-01-005s.mp3,治療那麼多次都沒效，要怎麼辦？,,動詞,,人體與醫療
1-6,出汗,cudˋ hon,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-01-006.mp3,流汗,熱到（熱啊）緊出汗。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-01-006s.mp3,熱到一直流汗。,,動詞,,人體與醫療
1-7,出麻仔,cudˋ maˇ eˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-01-007.mp3,出麻疹,老弟上隻月出麻仔。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-01-007s.mp3,弟弟上個月出麻疹。,,動詞,,人體與醫療
1-8,出血,cudˋ hiedˋ【cudˋ hiadˋ】,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-01-008.mp3,流血,厥手分刀仔割着，緊出血。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-01-008s.mp3,他的手被刀子割到，一直流血。,,動詞,,人體與醫療
1-9,打哈啾,daˋ had qiuˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-01-009.mp3,打噴嚏,仰緊打哈啾？敢係寒着（凍着）吔？,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-01-009s.mp3,怎麼一直打噴嚏？難道是感冒了嗎？,,動詞,,人體與醫療
1-10,嘔【翻】,euˋ【ponˊ】,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-01-010.mp3,嘔、吐,佢人毋爽快，一食就嘔（翻）。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-01-010s.mp3,他不舒服，一吃東西就嘔吐。,,動詞,,人體與醫療
