編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-1,醫,iˊ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-001.mp3,醫治,先生會同你醫好，毋使愁,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-001s.mp3,醫生會把你治好，不必擔心。,,動詞,,1人體與醫療
1-2,看病,kon  piang,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-002.mp3,看病,今晡日先生無同人看病,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-002s.mp3,今天醫生沒替人看病。,,動詞,,1人體與醫療
1-3,康健（健康）,kongˊ kien (kien kongˊ)【kongˊ kian (kian kongˊ)】,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-003.mp3,健康,身體康健。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-003s.mp3,身體健康。,,形容詞,,1人體與醫療
1-4,發病仔【發病】,bodˋ piang eˋ【bodˋ piang】,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-004.mp3,生病,發病仔（發病）當艱苦（蓋辛苦）。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-004s.mp3,生病很不舒服。,,動詞,,1人體與醫療
1-5,寒着【凍着】,honˇ doˋ【dung doˋ】,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-005.mp3,感冒,著忒少，嗄寒着哩（凍着吔）！,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-005s.mp3,穿太少，就感冒了！,,動詞,,1人體與醫療
1-6,著着,cog doˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-006.mp3,感染；中獎,"著着癌症
著着大獎",https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-006s.mp3,"得到癌症
中大獎",,動詞,,1人體與醫療
1-7,嗽,cug,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-007.mp3,咳嗽,阿婆寒着（凍着），緊嗽。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-007s.mp3,祖母感冒，一直咳嗽。,,動詞,,1人體與醫療
1-8,發燒,fadˋ seuˊ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-008.mp3,發燒,略略仔發燒,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-008s.mp3,有點發燒,,動詞,名詞,1人體與醫療
1-9,著傷,cog songˊ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-009.mp3,受傷,佢跌倒（橫倒），膝頭著傷。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-009s.mp3,他跌倒，膝蓋受傷。,,動詞,,1人體與醫療
1-10,毋鬆爽,mˇ sungˊ songˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-010.mp3,不舒服,佢人毋鬆爽，今晡日愛請假,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-010s.mp3,他人不舒服，今天要請假。,,形容詞,,1人體與醫療
1-11,熱着,ngied doˋ【ngiad doˋ】,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-011.mp3,中暑,天時恁熱，出去晒會熱着。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-011s.mp3,天氣那麼熱，出去晒會中暑。,,動詞,,1人體與醫療
1-12,拉尿,laiˇ ngiau,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-012.mp3,尿失禁、尿床,"佢忍毋核，拉尿哩（吔）！
昨暗晡食忒多茶，故所拉尿哩（吔）！",https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-012s.mp3,"他忍不住，尿出來了！
昨晚喝太多茶，所以尿床了！",,動詞,,1人體與醫療
1-13,屙瀉巴（屙痢肚）,oˊ xia baˇ (oˊ li duˋ),https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-013.mp3,拉肚子,食着無萋个菜，歸日仔屙瀉巴。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-013s.mp3,吃了不新鮮的菜，整天拉肚子。,,動詞,,1人體與醫療
1-14,屙尿,oˊ ngiau,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-014.mp3,小便,老弟想屙尿，緊尋便所,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-014s.mp3,弟弟想小便，一直找廁所。,,動詞,,1人體與醫療
1-15,屙屎,oˊ siiˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-015.mp3,大便,佢去便所屙屎，你愛等一下仔無？,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-015s.mp3,他去廁所大便，你要等一下嗎？,,動詞,,1人體與醫療
1-16,屁（屁卵）,pi (pi lonˋ),https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-016.mp3,屁,佢毋知食恁多麼个，打个屁（屁卵）當（蓋）臭。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-016s.mp3,他不知道吃了些什麼，放屁很臭。,,名詞,,1人體與醫療
1-17,消化,seuˊ  fa,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-017.mp3,消化,食梅仔對消化較（過）好。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-017s.mp3,吃梅子對消化比較有幫助。,,動詞,,1人體與醫療
1-18,大肚屎,tai duˋ siiˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-018.mp3,大肚子，指懷孕,阿姊大肚屎，下隻月愛降哩（吔）。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-018s.mp3,姊姊懷孕，下個月要生產了。,,形容詞,,1人體與醫療
1-19,降,giung,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-019.mp3,生（小孩）,老弟心臼上禮拜降妹仔。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-019s.mp3,弟媳上星期生女兒。,,動詞,,1人體與醫療
1-20,血,hiedˋ【hiadˋ】,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-020.mp3,血,"分刀仔割着，手緊出血。
身體檢查愛抽血。",https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-020s.mp3,"被刀子割到，手一直流血。
身體檢查要抽血。",,名詞,,1人體與醫療
1-21,醫院,iˊ ien【iˊ ian】,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-021.mp3,醫院,醫院在車頭附近。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-021s.mp3,醫院在車站附近。,,名詞,,1人體與醫療
1-22,護士,fu sii,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-022.mp3,護士,做護士，愛有耐心。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-022s.mp3,當護理師，要有耐心。,,名詞,,1人體與醫療
1-23,掛號,gua ho,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-023.mp3,掛號,去醫院掛號,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-023s.mp3,去醫院掛號,,動詞,,1人體與醫療
1-24,藥仔,iog eˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-024.mp3,藥,"愛記得食藥仔。
阿姆寒着（凍着），去藥房合藥仔。
這菜無洩（射）藥仔，做得安心食。",https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-024s.mp3,"要記得吃藥。
媽媽感冒，去藥局配藥。
這菜沒有噴農藥，可以放心食用。",,名詞,,1人體與醫療
1-25,啄目睡,dugˋ mugˋ soi,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-025.mp3,打瞌睡,無睡飽會啄目睡,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-025s.mp3,沒睡飽會打瞌睡,,動詞,,1人體與醫療
1-26,頭那,teuˇ naˇ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-026.mp3,頭,歸日仔頭那痛,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-026s.mp3,整天頭痛,,名詞,,1人體與醫療
1-27,頭那毛,teuˇ naˇ moˊ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-027.mp3,頭髮,剃頭那毛。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-027s.mp3,理頭髮。,,名詞,,1人體與醫療
1-28,額頭,ngiagˋ teuˇ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-028.mp3,額頭,,,,,名詞,,1人體與醫療
1-29,目眉毛,mugˋ miˇ moˊ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-029.mp3,眉毛,,,,,名詞,,1人體與醫療
1-30,目珠,mugˋ zuˊ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-030.mp3,眼睛,老吔！目珠花花！,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-030s.mp3,老了！眼睛濛濛的。,,名詞,,1人體與醫療
1-31,目汁,mugˋ ziibˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-031.mp3,眼淚,講佢兩句，就目汁緊跌,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-031s.mp3,說他兩句，就一直掉眼淚。,,名詞,,1人體與醫療
1-32,鼻公,pi gungˊ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-032.mp3,鼻子,鼻公塞塞,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-032s.mp3,鼻子塞住,,名詞,,1人體與醫療
1-33,耳公,ngiˋ gungˊ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-033.mp3,耳朵,佢耳公聾聾，你講話愛較（過）大聲兜仔（一息）。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-033s.mp3,他耳朵重聽，你講話要大聲一點。,,名詞,,1人體與醫療
1-34,嘴,zoi,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-034.mp3,嘴巴,"厥嘴當（蓋）大，做得一口食半碗飯。
佢食墨斗魚，食到嘴烏烏。",https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-034s.mp3,"他的嘴巴很大，可以一口吃半碗飯。
他吃烏賊，吃到嘴巴黑黑的。",,名詞,,1人體與醫療
1-35,牙齒,ngaˇ ciiˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-035.mp3,牙齒,"牙齒痛，愛去分先生看。
嬰兒仔正生牙齒。",https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-035s.mp3,"牙齒痛，要去給醫生看。
嬰兒剛長牙齒。",,名詞,,1人體與醫療
1-36,舌嫲,sad maˇ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-036.mp3,舌頭,"緊張到舌嫲打結
好食到舌嫲就會吞落去",https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-036s.mp3,"緊張到舌頭打結
好吃到快把舌頭吞下去。",,名詞,,1人體與醫療
1-37,口涎水,heuˋ lanˊ suiˋ【(heuˋ nanˊ suiˋ)】,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-037.mp3,口水,口涎水溚溚跌。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-037s.mp3,口水一直滴。,,名詞,,1人體與醫療
1-38,面,mien,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-038.mp3,臉,朝晨䟘起來愛洗嘴洗面,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-038s.mp3,早上起床要刷牙洗臉。,,名詞,,1人體與醫療
1-39,頸根,giangˋ ginˊ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-039.mp3,脖子,這禮拜日日加班，感覺頸根硬硬。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-039s.mp3,這星期每天加班，感覺脖子僵硬。,,名詞,,1人體與醫療
1-40,肩頭,gienˊ teuˇ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-040.mp3,肩膀,試着肩頭硬硬樣仔,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-040s.mp3,覺得肩膀緊繃的樣子。,,名詞,,1人體與醫療
1-41,背囊,boi nongˇ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-041.mp3,背部,爪背囊,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-041s.mp3,抓背,,名詞,,1人體與醫療
1-42,手,suˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-042.mp3,手,阿爸牽等吾（𠊎）个手。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-042s.mp3,爸爸牽著我的手。,,名詞,,1人體與醫療
1-43,手指,suˋ ziiˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-043.mp3,手指,阿嫂手指分刀仔切着，緊出血。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-043s.mp3,嫂嫂手指被刀子切到，一直流血。,,名詞,,1人體與醫療
1-44,肚屎,duˋ siiˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-044.mp3,肚子,食着無淨俐个東西，肚屎痛緊走便所。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-044s.mp3,吃到不乾淨的食物，肚子痛一直跑廁所。,,名詞,,1人體與醫療
