編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-1,病子,piang zii^/zu^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-001.mp3,害喜,阿姊病子，直直想討貶腹。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-001s.mp3,姊姊害喜，一直想吐。,,動詞,,1人體與醫療
1-2,起狂,ki^ kongˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-002.mp3,發狂,這位學者透日起狂來研究各式各樣个問題。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-002s.mp3,這位學者整天發狂的研究各式各樣的問題。,,動詞,,1人體與醫療
1-3,食薰,shiedˋ funˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-003.mp3,抽菸（吐菸）,阿伯為着身體康健，決定無愛食薰啊！,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-003s.mp3,伯父為了身體健康，決定不要抽菸了！,,動詞,,1人體與醫療
1-4,穢,bbe^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-004.mp3,傳染,"得人穢着
寒着會穢人",https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-004s.mp3,"被別人傳染
感冒會傳染給人",,動詞,,1人體與醫療
1-5,治療,chi leeuˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-005.mp3,治療,治療恁多擺攏無效，愛仰子正好？,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-005s.mp3,治療那麼多次都沒效，要怎麼辦？,,動詞,,1人體與醫療
1-6,出汗,chidˊ hon ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-006.mp3,流汗,熱到直直出汗,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-006s.mp3,熱到一直流汗,,動詞,,1人體與醫療
1-7,出麻,chidˊ maˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-007.mp3,出麻疹,阿弟上個月出麻。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-007s.mp3,弟弟上個月出麻疹。,,動詞,,1人體與醫療
1-8,流血,lauˋ fiedˊ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-008.mp3,流血,佢个手得刀割着，直直流血。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-008s.mp3,他的手被刀子割到，一直流血。,,動詞,,1人體與醫療
1-9,打哈啾,da^ hadˊ ciuˋ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-009.mp3,打噴嚏,仰子直直打哈啾？敢係寒着啊？,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-009s.mp3,怎麼一直打噴嚏？難道是感冒了嗎？,,動詞,,1人體與醫療
1-10,吐,tu^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-010.mp3,嘔、吐,佢人無快活，一食即吐。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-010s.mp3,他不舒服，一吃東西就嘔吐。,,動詞,,1人體與醫療
1-11,花花,faˇ faˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-011.mp3,視線模糊,目珠花花,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-011s.mp3,視線模糊,,形容詞,,1人體與醫療
1-12,發炎,fadˊ rhiam,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-012.mp3,發炎,手割着無處理好勢，嗄發炎啊。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-012s.mp3,手割到沒有處理妥當，結果發炎了。,,動詞,,1人體與醫療
1-13,醒眠,ciang^ minˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-013.mp3,失眠,昨暗夜醒眠，所以這下直直啄睡。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-013s.mp3,昨晚失眠，所以現在一直打瞌睡。,,動詞,,1人體與醫療
1-14,恢復,fuiˇ fu ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-014.mp3,恢復,恢復健康,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-014s.mp3,恢復健康,,動詞,,1人體與醫療
