編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-1,醫,rhiˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-001.mp3,醫治,先生會拁你醫好，毋使擘心,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-001s.mp3,醫生會把你治好，不必擔心。,,動詞,,1人體與醫療
1-2,䀴病,ngiang^ piang,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-002.mp3,看病,今日先生無拁人䀴病,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-002s.mp3,今天醫生沒替人看病。,,動詞,,1人體與醫療
1-3,康健,kongˇ kien,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-003.mp3,健康,身體康健,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-003s.mp3,身體健康。,,形容詞,,1人體與醫療
1-4,破病,poo^ piang,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-004.mp3,生病,破病真艱難,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-004s.mp3,生病很不舒服。,,動詞,,1人體與醫療
1-5,寒着（感着）,honˋ choo (gam^ choo),https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-005.mp3,感冒,著傷少，嗄寒着啊！,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-005s.mp3,穿太少，就感冒了！,,動詞,,1人體與醫療
1-6,著着,choo choo,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-006.mp3,感染；中獎,"著着癌症
著着大獎",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-006s.mp3,"得到癌症。
中大獎。",,動詞,,1人體與醫療
1-7,嗽,seu^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-007.mp3,咳嗽,阿媽寒着，直直嗽,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-007s.mp3,祖母感冒，一直咳嗽。,,動詞,,1人體與醫療
1-8,發燒,fadˊ shiooˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-008.mp3,發燒,略略仔發燒,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-008s.mp3,有點發燒。,,動詞,名詞,1人體與醫療
1-9,著傷,choo shongˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-009.mp3,受傷,佢跌倒，膝頭著傷,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-009s.mp3,他跌倒，膝蓋受傷。,,動詞,,1人體與醫療
1-10,無快活,moˋ kuai^ bbadˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-010.mp3,不舒服,佢人無快活，今日討請假,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-010s.mp3,他人不舒服，今天要請假。,,形容詞,,1人體與醫療
1-11,熱着,ngiedˋ choo,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-011.mp3,中暑,天氣恁熱，出去炙會熱着,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-011s.mp3,天氣那麼熱，出去晒會中暑。,,動詞,,1人體與醫療
1-12,疶尿,cheedˊ neeu,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-012.mp3,尿失禁、尿床,"佢忍毋會核，疶尿啊！
昨暗夜啉傷多茶，所以疶尿啊！",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-012s.mp3,"他忍不住，尿出來了！
昨晚喝太多茶，所以尿床了！",,動詞,,1人體與醫療
1-13,落屎,lau^ shi^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-013.mp3,拉肚子,食着無萋个菜，歸日落屎,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-013s.mp3,吃了不新鮮的菜，整天拉肚子。,,動詞,,1人體與醫療
1-14,屙尿,ooˇ neeu,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-014.mp3,小便,阿弟想討屙尿，直直尋便所,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-014s.mp3,弟弟想小便，一直找廁所。,,動詞,,1人體與醫療
